Route,Count
sreekandapuram kannur,3
hq hospital chalode,5
chalode hq hospital,4
chekkikulam hq hospital,1
hq hospital chekkikulam,1
kozhikkode kunnamangalam,23
tirur manjeri,45
pathanamthitta kollam,52
kannur payyannur,35
payyannur kasaragod,15
kasaragod payyannur,21
kannur kasaragod,68
guruvayoor ernakulam,6
kannur alakode,2
alakode kannur,2
alakode thaliparamba,3
thaliparamba alakode,3
thaliparamba naduvil,1
naduvil thaliparamba,2
kannur balesugiri,1
balesugiri kannur,2
balesugiri thaliparamba,3
thaliparamba balesugiri,4
poyya thrissur,1
mala ernakulam jetty,4
thaliparamba padappengad,1
padappengad thaliparamba,1
ernakulam jetty thrissur,51
parassinikadavu thaliparamba,2
ernakulam jetty mala,5
mala chalakudy,4
chalakudy kodungallur,4
kodungallur mannuthy,1
thottilpalam kozhikkode,37
kozhikkode thottilpalam,45
nedumangad cheruppani,2
cheruppani nedumangad,3
nedumangad cheppilode,6
cheppilode meenankal,1
meenankal nedumangad,6
kalpetta padinjarethara,10
padinjarethara kalpetta,8
vandanam medical college oachira,12
nedumangad vellanad,5
vellanad nedumangad,5
nedumangad aryanad,11
kattakkada koottappu,12
aryanad nedumangad,16
kottayil kovilakom north paravoor,1
punalal nedumangad,1
north paravoor guruvayoor,7
nedumangad punalal,1
valiyamparamba payyannur railway station,3
manjeri tirur,44
malappuram mananthavady,1
mananthavady kozhikkode,78
kozhikkode malappuram,19
malappuram mukkam,1
mukkam malappuram,1
guruvayoor ernakulam jetty,91
kottayam kozhencherry,35
alappuzha thrissur,5
perumathura kazhakkoottam,23
thiruvarpu kottayam,5
neyyattinkara karakonam,59
nedumangad tvm medical college,10
thiruvananthapuram venpakal,5
karakonam thiruvananthapuram,14
elanji muvattupuzha,3
mannuthy aluva,3
rajagiri payyannur,2
aryanad kattakkada,11
vlavetty kattakkada,6
irumbakachola mannarkad,1
ayyankolly sulthan bathery,12
thalassery mananthavady,8
mananthavady thalassery,8
kokri kunnamangalam,1
mananthavady ambedkar,1
ambedkar mananthavady,1
kozhikkode mananthavady,79
thiruvambady thottumukkam,2
thottumukkam kasaragod,1
kasaragod kozhikkode railway station,1
kozhikkode railway station thiruvambady,18
sulthan bathery vadakara,1
vadakara sulthan bathery,2
vadakara attakkundu,2
attakkundu vadakara,2
thottilpalam palakkad,1
vithura thiruvananthapuram,39
vithura peroorkada,2
peroorkada jersy farm,1
nedumangad jersy farm,2
nedumangad vithura culvert,24
vithura culvert vithura (circular),1
vithura east fort,4
east fort bonacaud,2
bonacaud east fort,1
bonacaud vithura culvert,1
vithura palode,15
palode nedumangad,20
mayam panachamoodu,2
north paravoor chathanad,35
panachamoodu mayam,2
tvm medical college mannamkonam,2
payyannur valiyamparamba (stay),3
bharanikkavu karunagappally,3
kalpetta kottathara (stay),5
mayam thiruvananthapuram,2
kottathara muttil,1
anakkatty palakkad,9
palakkad anakkatty,8
